league,date,home,away,probh,probd,proba,probOver,probUnder
B1,03/10/2021 00:00:00,Eupen,Genk,0.30934483,0.2640385,0.42661667,0.5072386,0.49276137
D1,02/10/2021 00:00:00,Dortmund,Augsburg,0.6587476,0.22272646,0.118525915,0.5278402,0.4721598
D1,02/10/2021 00:00:00,Stuttgart,Hoffenheim,0.4071019,0.26547965,0.32741848,0.5145517,0.4854483
D1,02/10/2021 00:00:00,RB Leipzig,Bochum,0.7051183,0.21199808,0.08288365,0.53137106,0.46862894
D1,03/10/2021 00:00:00,Bayern Munich,Ein Frankfurt,0.6869271,0.19812652,0.11494638,0.549101,0.45089903
D2,01/10/2021 00:00:00,Erzgebirge Aue,Hamburg,0.2704393,0.2755785,0.45398217,0.51503474,0.48496523
D2,02/10/2021 00:00:00,Fortuna Dusseldorf,Paderborn,0.30054978,0.24148308,0.45796713,0.5110389,0.4889611
D2,02/10/2021 00:00:00,Regensburg,Karlsruhe,0.41726968,0.21545312,0.36727723,0.5276131,0.4723869
D2,03/10/2021 00:00:00,Sandhausen,Darmstadt,0.3537726,0.27635238,0.369875,0.5090288,0.4909712
D2,03/10/2021 00:00:00,St Pauli,Dresden,0.6172998,0.21707837,0.16562183,0.5099369,0.4900631
E0,02/10/2021 00:00:00,Burnley,Norwich,0.42114723,0.29920802,0.27964476,0.49097162,0.5090284
E0,02/10/2021 00:00:00,Leeds,Watford,0.30669212,0.243415,0.44989288,0.5203753,0.47962466
E0,02/10/2021 00:00:00,Brighton,Arsenal,0.5188223,0.24442707,0.2367506,0.49132568,0.5086743
E0,03/10/2021 00:00:00,Tottenham,Aston Villa,0.44764122,0.24847546,0.3038833,0.5141465,0.4858535
E0,03/10/2021 00:00:00,Liverpool,Man City,0.4245306,0.21247672,0.3629927,0.5180199,0.48198006
E1,02/10/2021 00:00:00,Coventry,Fulham,0.461019,0.23125494,0.30772606,0.50020146,0.49979854
E1,02/10/2021 00:00:00,Birmingham,Nottm Forest,0.34124672,0.30770037,0.35105294,0.46511358,0.5348864
E1,02/10/2021 00:00:00,Bournemouth,Sheffield United,0.46198875,0.26831144,0.2696998,0.4792444,0.5207556
E1,02/10/2021 00:00:00,Derby,Swansea,0.42744422,0.2639153,0.30864048,0.50046784,0.49953213
E1,02/10/2021 00:00:00,Luton,Huddersfield,0.4683432,0.24808931,0.2835675,0.49488083,0.5051192
E1,02/10/2021 00:00:00,QPR,Preston,0.45470548,0.27973804,0.26555648,0.4810984,0.5189016
E2,02/10/2021 00:00:00,AFC Wimbledon,Burton,0.43242168,0.26744542,0.3001329,0.5133793,0.48662072
E2,02/10/2021 00:00:00,Cheltenham,Rotherham,0.3465992,0.28463152,0.3687693,0.48024467,0.51975536
E2,02/10/2021 00:00:00,Doncaster,Milton Keynes Dons,0.20340805,0.29296923,0.5036228,0.49014983,0.50985014
E2,02/10/2021 00:00:00,Gillingham,Wigan,0.23128174,0.22620204,0.54251623,0.51241696,0.48758304
E2,02/10/2021 00:00:00,Portsmouth,Sunderland,0.3165555,0.28315675,0.40028772,0.49290562,0.5070944
E2,02/10/2021 00:00:00,Wycombe,Morecambe,0.47109878,0.23115349,0.2977477,0.48647228,0.5135277
E3,02/10/2021 00:00:00,Bristol Rvs,Swindon,0.33263335,0.30450046,0.3628662,0.47404838,0.5259516
E3,02/10/2021 00:00:00,Colchester,Salford,0.43203425,0.28129143,0.28667432,0.4628291,0.5371709
E3,02/10/2021 00:00:00,Mansfield,Barrow,0.44513535,0.26229846,0.29256618,0.48493692,0.51506305
E3,02/10/2021 00:00:00,Port Vale,Leyton Orient,0.38938078,0.3100326,0.3005866,0.46981174,0.53018826
E3,02/10/2021 00:00:00,Tranmere,Crawley Town,0.4769526,0.26406413,0.25898325,0.48083606,0.51916397
EC,02/10/2021 00:00:00,Barnet,Halifax,0.53541446,0.2607891,0.20379643,0.468286,0.53171396
EC,02/10/2021 00:00:00,Grimsby,Dover Athletic,0.30563185,0.2787865,0.41558164,0.46885285,0.5311471
EC,02/10/2021 00:00:00,Notts County,Woking,0.46202096,0.27482563,0.2631534,0.4777002,0.52229977
EC,02/10/2021 00:00:00,Eastleigh,Boreham Wood,0.482829,0.26007304,0.25709796,0.4568838,0.5431162
F1,02/10/2021 00:00:00,Montpellier,Strasbourg,0.44823772,0.23930798,0.31245428,0.5201594,0.47984058
F1,03/10/2021 00:00:00,Rennes,Paris SG,0.389395,0.22746272,0.38314226,0.48974574,0.51025426
F1,03/10/2021 00:00:00,Lorient,Clermont,0.5248784,0.24325933,0.23186229,0.5000027,0.49999735
F1,03/10/2021 00:00:00,Nantes,Troyes,0.42424467,0.27239168,0.30336368,0.49633938,0.5036606
F1,03/10/2021 00:00:00,St Etienne,Lyon,0.2868757,0.2617495,0.4513748,0.5078227,0.49217734
F2,02/10/2021 00:00:00,Auxerre,Nimes,0.53339094,0.24437681,0.22223224,0.48020726,0.51979274
F2,02/10/2021 00:00:00,Caen,Valenciennes,0.39596504,0.28775916,0.3162758,0.4848619,0.5151381
F2,02/10/2021 00:00:00,Grenoble,Pau FC,0.43950236,0.27763212,0.28286552,0.47644332,0.5235567
F2,02/10/2021 00:00:00,Le Havre,Dijon,0.48953632,0.26432666,0.24613705,0.49147332,0.5085267
F2,02/10/2021 00:00:00,Sochaux,Niort,0.51299274,0.30646458,0.18054269,0.4562586,0.5437414
G1,02/10/2021 00:00:00,Aris,Apollon,0.5499254,0.28247696,0.16759765,0.45608482,0.5439152
G1,03/10/2021 00:00:00,Panetolikos,AEK,0.3106735,0.3196517,0.3696748,0.44652554,0.5534745
I1,01/10/2021 00:00:00,Cagliari,Venezia,0.44539365,0.28903785,0.2655685,0.49802858,0.5019714
I1,02/10/2021 00:00:00,Torino,Juventus,0.39455956,0.26009044,0.34535003,0.51535493,0.48464507
I1,03/10/2021 00:00:00,Bologna,Lazio,0.4995762,0.25252458,0.24789922,0.51905966,0.48094034
I1,03/10/2021 00:00:00,Verona,Spezia,0.3631898,0.28089887,0.35591134,0.5060402,0.49395975
I1,03/10/2021 00:00:00,Roma,Empoli,0.4699499,0.2514321,0.278618,0.5122379,0.48776212
I2,01/10/2021 00:00:00,Lecce,Monza,0.41974092,0.28065932,0.29959977,0.49320295,0.506797
I2,02/10/2021 00:00:00,Cremonese,Ternana,0.43543908,0.2695018,0.2950591,0.51378036,0.48621964
I2,02/10/2021 00:00:00,Frosinone,Cittadella,0.4265998,0.27805197,0.29534823,0.5246221,0.47537795
I2,02/10/2021 00:00:00,Spal,Parma,0.55603564,0.22867379,0.21529056,0.5236711,0.47632888
I2,03/10/2021 00:00:00,Pordenone,Vicenza,0.36882645,0.28349134,0.3476822,0.48701462,0.51298535
N1,01/10/2021 00:00:00,Groningen,Twente,0.38409752,0.2829638,0.33293864,0.47646093,0.52353907
N1,02/10/2021 00:00:00,Heracles,Willem II,0.49711034,0.25600195,0.24688771,0.49124342,0.5087566
N1,03/10/2021 00:00:00,PSV Eindhoven,Sparta Rotterdam,0.6316379,0.23376387,0.13459827,0.52071923,0.47928077
P1,01/10/2021 00:00:00,Famalicao,Guimaraes,0.4059524,0.35298607,0.24106152,0.45822552,0.5417745
P1,02/10/2021 00:00:00,Porto,Pacos Ferreira,0.6481941,0.2301708,0.121635124,0.48864147,0.5113585
P1,03/10/2021 00:00:00,Belenenses,Tondela,0.46468347,0.28261697,0.25269958,0.48822317,0.5117768
P1,03/10/2021 00:00:00,Estoril,Gil Vicente,0.34341317,0.31120118,0.3453856,0.44988137,0.5501186
SC0,02/10/2021 00:00:00,Dundee United,Ross County,0.40472355,0.29017663,0.30509982,0.48733777,0.51266223
SC0,02/10/2021 00:00:00,Livingston,St Mirren,0.40119174,0.3252918,0.27351645,0.49603593,0.50396407
SC0,03/10/2021 00:00:00,Aberdeen,Celtic,0.31943065,0.28680038,0.393769,0.48658192,0.5134181
SC1,02/10/2021 00:00:00,Hamilton,Inverness C,0.24793993,0.3349138,0.4171463,0.44737145,0.5526285
SC1,02/10/2021 00:00:00,Morton,Arbroath,0.21151607,0.2780377,0.51044625,0.48048496,0.51951504
SC1,02/10/2021 00:00:00,Queen of Sth,Dunfermline,0.30702084,0.3357703,0.35720888,0.4629241,0.5370759
SC2,02/10/2021 00:00:00,Alloa,Cove Rangers,0.30286813,0.25031158,0.4468203,0.48329088,0.51670915
SC2,02/10/2021 00:00:00,Peterhead,Dumbarton,0.44622487,0.24985337,0.30392176,0.47542733,0.5245727
SC3,01/10/2021 00:00:00,Edinburgh City,Cowdenbeath,0.45752472,0.2732163,0.26925898,0.4848603,0.5151397
SC3,02/10/2021 00:00:00,Stranraer,Albion Rvs,0.4965804,0.2565596,0.24685998,0.48790658,0.5120934
SP1,02/10/2021 00:00:00,Osasuna,Vallecano,0.2991743,0.29016343,0.41066223,0.47233793,0.52766204
SP1,02/10/2021 00:00:00,Cadiz,Valencia,0.2785807,0.289107,0.4323123,0.47765154,0.52234846
SP1,03/10/2021 00:00:00,Elche,Celta,0.3318407,0.28897962,0.3791797,0.46846777,0.5315322
SP1,03/10/2021 00:00:00,Getafe,Sociedad,0.266941,0.2869265,0.44613248,0.4673022,0.5326978
SP1,03/10/2021 00:00:00,Granada,Sevilla,0.16774234,0.29166618,0.5405915,0.4878343,0.51216567
SP2,02/10/2021 00:00:00,Zaragoza,Oviedo,0.41000575,0.3200584,0.26993585,0.4638636,0.5361364
SP2,03/10/2021 00:00:00,Leganes,Lugo,0.54228663,0.30075786,0.15695554,0.46826953,0.5317305
T1,02/10/2021 00:00:00,Konyaspor,Alanyaspor,0.52585155,0.25694636,0.21720213,0.5188925,0.4811075
T1,02/10/2021 00:00:00,Kayserispor,Trabzonspor,0.3520935,0.30602652,0.34188,0.48862323,0.51137674
T1,03/10/2021 00:00:00,Yeni Malatyaspor,Hatayspor,0.27268845,0.28347015,0.44384143,0.48505503,0.514945
